"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Yandy Diaz","TBR","134","541","13","62","64","1","12.8%","15.7%",".131",".286",".256",".353",".387",".325",".332","111","-2.2","4.8","-4.7","1.9","16578"
"Lourdes Gurriel Jr.","TOR","141","541","21","62","84","1","5.9%","18.9%",".190",".305",".276",".319",".466",".333",".339","107","-2.0","3.0","-3.9","1.8","19238"
"Josh Rojas","ARI","139","550","11","69","44","9","10.5%","24.9%",".147",".345",".264",".341",".411",".327",".299","102","4.6","6.3","-7.2","1.8","19734"
"David Peralta","ARI","150","538","8","57","63","2","8.6%","17.1%",".144",".303",".259",".325",".402",".314",".293","94","2.0","-2.2","1.3","1.7","2136"
"Andrew Benintendi","KCR","134","538","17","63","73","8","6.7%","18.0%",".166",".309",".276",".324",".442",".328",".331","105","-0.1","3.2","-4.4","1.7","17901"
"Isiah Kiner-Falefa","TEX","158","677","8","74","53","20","4.1%","13.3%",".087",".304",".271",".312",".357",".293",".292","84","4.2","-8.9","2.8","1.7","16512"
"Nathaniel Lowe","TEX","157","642","18","75","72","8","12.5%","25.2%",".151",".339",".264",".357",".415",".337",".323","114","-2.2","8.9","-14.0","1.7","19566"
"Jose Iglesias","- - -","137","511","9","65","48","5","4.1%","14.7%",".120",".305",".271",".309",".391",".304",".297","90","-0.2","-6.8","5.9","1.7","10231"
"Austin Meadows","TBR","142","591","27","79","106","4","10.0%","20.6%",".224",".249",".234",".315",".458",".327",".326","113","-1.7","7.4","-11.3","1.6","15672"
"Cesar Hernandez","- - -","149","637","21","84","62","1","9.3%","21.2%",".154",".266",".232",".308",".386",".302",".311","90","0.8","-7.0","1.4","1.6","10556"
"Elvis Andrus","OAK","146","541","3","60","37","12","5.7%","15.0%",".076",".283",".243",".294",".320",".270",".308","74","4.5","-12.9","10.1","1.6","8709"
"Andrew McCutchen","PHI","144","574","27","78","80","6","14.1%","23.0%",".222",".242",".222",".334",".444",".335",".344","108","1.5","7.0","-11.2","1.5","9847"
"Jesus Aguilar","MIA","131","510","22","49","93","0","9.0%","18.2%",".198",".279",".261",".329",".459",".334",".334","111","-3.4","3.5","-6.7","1.4","11342"
